fp32,2xbf_3,2xbf_3d,3xbf_6,3xbf_6d,3xbf_9,3xbf_9d
1.43758e-05,1.83115e-05,1.03192e-05,1.43758e-05,8.88797e-09,1.83115e-05,1.03104e-05
9.8933e-06,3.19032e-05,2.8076e-05,9.8933e-06,5.11243e-08,3.19032e-05,2.80251e-05
7.41529e-06,2.52202e-05,2.25614e-05,7.41529e-06,3.48015e-08,2.52098e-05,2.25268e-05
5.49836e-06,3.35557e-05,3.24036e-05,5.49829e-06,7.47558e-08,3.35557e-05,3.23311e-05
6.9868e-06,3.38648e-05,3.21531e-05,6.97988e-06,7.47333e-08,3.38648e-05,3.20807e-05
7.19149e-06,1.20107e-05,9.42154e-06,7.20391e-06,2.3519e-09,1.20107e-05,9.41919e-06
