fp32,2xbf_3,2xbf_3d,3xbf_6,3xbf_6d,3xbf_9,3xbf_9d
0.00755465,0.0369617,0.0369887,0.00758898,9.49846e-05,0.0369617,0.0368938
0.0978708,0.203977,0.14546,0.0978746,0.000218781,0.203977,0.145257
1.0957,1.31257,1.08484,1.0921,0.00199343,1.31165,1.08291
5.98832,8.95334,6.12128,5.99824,0.0124801,8.94489,6.10939
48.591,60.4886,35.1635,48.5775,0.0713192,60.25,35.0953
397.806,444.814,197.75,398.111,0.407882,444.173,197.361
