fp32,2xbf_3,2xbf_3d,3xbf_6,3xbf_6d,3xbf_9,3xbf_9d
0.000872036,0.00116175,0.000655384,0.000872036,6.04168e-07,0.00116175,0.00065478
0.000705897,0.00180518,0.00171757,0.000705897,2.92067e-06,0.00180518,0.00171465
0.000289635,0.00111158,0.000993623,0.000289635,1.49547e-06,0.00111111,0.000992128
2.35934e-05,0.000149298,0.00013732,2.35916e-05,2.80635e-07,0.000149298,0.00013704
7.84892e-05,0.000391198,0.000379089,7.84222e-05,7.85215e-07,0.000391198,0.000378304
2.78979e-05,4.59413e-05,3.50483e-05,2.79258e-05,8.57895e-09,4.59413e-05,3.50397e-05
