fp32,2xbf_3,2xbf_3d,3xbf_6,3xbf_6d,3xbf_9,3xbf_9d
1.8724e-05,2.20616e-05,1.27734e-05,1.86999e-05,1.86226e-08,2.20616e-05,1.27556e-05
1.11075e-05,4.01031e-05,3.30059e-05,1.11075e-05,6.43775e-08,4.01031e-05,3.2943e-05
2.4964e-05,3.17943e-05,2.65566e-05,2.49635e-05,5.63359e-08,3.17912e-05,2.6502e-05
2.91687e-05,3.71788e-05,2.75387e-05,2.91313e-05,6.2446e-08,3.71456e-05,2.7479e-05
3.93431e-05,4.74657e-05,2.79482e-05,3.94241e-05,6.25021e-08,4.74413e-05,2.78889e-05
5.90275e-05,6.36193e-05,2.70398e-05,5.90113e-05,6.06441e-08,6.36031e-05,2.6982e-05
