fp32,2xbf_3,2xbf_3d,3xbf_6,3xbf_6d,3xbf_9,3xbf_9d
5.10213e-06,2.36907e-05,1.83639e-05,5.03858e-06,2.16083e-08,2.36907e-05,1.83423e-05
9.13415e-06,3.09997e-05,2.64395e-05,9.02459e-06,6.11584e-08,3.09997e-05,2.63811e-05
7.42301e-06,1.07354e-05,1.09587e-05,7.42346e-06,1.08794e-08,1.07354e-05,1.0948e-05
5.90523e-06,1.52202e-05,1.27161e-05,5.90523e-06,2.89582e-09,1.52202e-05,1.27132e-05
7.79127e-06,4.611e-05,4.34431e-05,7.79191e-06,1.10399e-07,4.60795e-05,4.33345e-05
7.97085e-06,5.21858e-05,5.06325e-05,7.97167e-06,1.29507e-07,5.20068e-05,5.05058e-05
