fp32,2xbf_3,2xbf_3d,3xbf_6,3xbf_6d,3xbf_9,3xbf_9d
0.00257575,0.0160621,0.0123871,0.00254523,1.46207e-05,0.0160621,0.0123724
0.000572147,0.00191949,0.0017574,0.000564517,3.81331e-06,0.00191949,0.00175359
0.00128115,0.0016859,0.00179691,0.00128163,1.69744e-06,0.0016859,0.00179522
0.000331308,0.000755742,0.000662732,0.000331308,1.66054e-07,0.000755742,0.000662566
0.000137246,0.000847038,0.000811792,0.000137306,1.88969e-06,0.000846691,0.000809903
2.50154e-05,0.000194604,0.000190585,2.50191e-05,4.47361e-07,0.000194073,0.000190137
